cod_gl_res144_indec,provincia,departamento,nombre_del_gobierno_local,categoria_de_gobierno,gobierno_local_con_paso_o_centro_fronterizo,gobierno_local_que_pertenece_a_un_aglomerado_urbano,poblacion_censo_2010,localidades_administradas_por_el_gobierno_local,distancia_a_la_capital_provincial,distancia_a_la_capital_alterna,perfil_economico_de_la_region,cantidad_de_parques_industriales_renpi,incendios_reportados_en_el_periodo_1999-2022,inundaciones_reportadas_en_el_periodo_1999-2022,fiestas_locales,sitio_web,direccion_postal_de_la_sede_de_gobierno,telefonos_sede_de_gobierno,apellido_y_nombre_de_la_maxima_autoridad.,latitud,longitud
740140,San Luis,Libertador General San Martín,San Martín ,Municipio,No,No,  697 ,San Martín             ,"116,8 KM","116,8 KM",Primario - Industrial,0,0,0,Festival Provincial del Cerro Blanco (Febrero) - Fiesta Patronal Santa Bárbara (Septiembre) -,https://www.facebook.com/MuniSanMartinSL/, Lafinur S/Nº - San Martín 5755 (5755),"0266 4452000 Int. 8206,0266 445200 Int. 8206","Mirabile Ochoa, Enzo Wilfredo",-65.6757116416,-32.4106037955
746007,San Luis,Ayacucho,Leandro N. Alem ,Comisión Municipal,No,No,  379 ,Leandro N. Alem             ,"94,5 KM","94,5 KM",Primario,0,0,0,Festival del Durazno (Enero) -,Sin datos,Belgrano S/N° (5703),"0266 4452000 Int. 8402,0266 4452010   Int. 8402","Funes, Walter Manuel Timoteo",-66.0530156832,-32.4862569541
746014,San Luis,Belgrano,La Calera ,Comisión Municipal,No,No,  598 ,La Calera             ,"68,3 KM","68,3 KM",Primario,0,0,0,Fiesta de la Piedra Caliza (Enero) -,Sin datos,Ruta  Provincial Nº 35-Acceso (5719),"0266 4452000 Int. 8076,0266 4450266 Int 8076","Lorenzetti, Diego Hernán",-66.8495289291,-32.8634331661
746021,San Luis,Belgrano,Nogolí,Comisión Municipal,No,No,  739 ,Nogolí             ,"42,6 KM","42,6 KM",Primario,0,0,0,Festival de Aguas Claras (Enero) -,http://municipalidaddenogoli.blogspot.com/,San Martin S/N° (5703),"02651 490602 Int. 8502,0266 4452000 Int. 8502 ,0266 4452000 8521","Funes, Mercedes Ramón",-66.3247145808,-32.9186674101
746028,San Luis,Belgrano,Villa de la Quebrada,Comisión Municipal,No,No,  523 ,Villa de la Quebrada             ,"32,1 KM","32,1 KM",Primario,0,0,0,Festival Cristo de la Quebrada (Enero) - Fiesta Patronal Cristo de la Quebrada (Mayo) -,https://www.facebook.com/gestionrosita.calderon,Belgrano S/N° (5703),"0266 4499900 Int.8503,0266 4452000 ,0266 4452010 Int. 8503","Calderón, Rosa Beatriz del Valle",-66.2880566494,-33.0160211646
746035,San Luis,Coronel Pringles,Carolina,Comisión Municipal,No,No,  251 ,La Carolina             ,"59,2 KM","59,2 KM",Primario - Industrial,0,0,0,Fiesta Provincial del Oro y del Agua (Enero) -,http://lacarolinasanluis.com.ar/,Calle 16de Julio s/n (5757),"02651 490214 Int. 8301,02664 452000 Int. 8301,02664 4452010 Int. 8301","Ferraro, Alberto",-66.0919519454,-32.8108022265
746049,San Luis,Coronel Pringles,Fraga,Comisión Municipal,No,No,  1.127 ,Fraga             ,"55,3 KM","55,3 KM",Primario - Industrial,0,0,0,-,Sin datos,San Martín S/N° (5736),"02657 498031 Int. 8303,0266 4452000  Int. 8303,0266 4452010 Int. 8303","Gil, Antonela Rosina",-65.7926477794,-33.5020870697
746063,San Luis,Coronel Pringles,Saladillo ,Comisión Municipal,No,No,  275 ,Saladillo             ,"46,2 KM","46,2 KM",Primario - Industrial,0,0,0,-,S/D,San Luis Rey s/n (5751),"0266 4452000,4452010 Int. 8306","Becerra, David Daniel",-65.8553237568,-33.2024715277
746070,San Luis,Chacabuco,Cortaderas,Comisión Municipal,No,No,  822 ,Cortaderas             ,"153,9 KM","153,9 KM",Primario - Industrial,0,0,0,Fiesta del Caballo (Marzo) -,Sin datos,Juan Pablo II S/Nº (5883),"02656 477016 Int. 8602,0266 4452000  Int. 8602,0266 4452010 Int. 8602","Canali, Mario",-64.9921531583,-32.5052575308
746077,San Luis,Chacabuco,Papagayos,Comisión Municipal,No,No,  433 ,Papagayos             ,144 KM,144 KM,Primario - Industrial,0,0,0,Festival de la Palmera Caranday (Febrero) - Fiesta Patronal San Pedro (Junio) -,S/D,Av. Comechingones 350 (5883),"0266 4452000 Int. 8604,0266 4452010 Int. 8604","Gauna , José Luis",-64.9889496779,-32.6751032109
746084,San Luis,Chacabuco,Renca,Comisión Municipal,No,No,  178 ,Renca             ,"108,3 KM","108,3 KM",Primario - Industrial,0,0,0,Festival del Picapedrero (Enero) - Fiesta Patronal Señor de Renca (Mayo) -,S/D,Calle José Santos Ortíz S/N (6775),"02656 422630,0266 4452000 ,02656 422624,4452010 Int. 8605","PERALTA, Romina Jesus",-65.3644688351,-32.7715913312
746091,San Luis,Chacabuco,San Pablo,Comisión Municipal,No,No,  192 ,San Pablo             ,"119,9 KM","119,9 KM",Primario - Industrial,0,0,0,-,S/D,Belgrano y San Luis S/N° (5773),"02656 422824 ,0266 4452000  Int. 8606,0351 157589908,0266 4452010 Int. 8606","Ferrari, Gabriel César",-65.3055836907,-32.6611959365
746098,San Luis,Chacabuco,Villa del Carmen ,Comisión Municipal,No,No,  751 ,Villa del Carmen             ,"127,6 KM","127,6 KM",Primario - Industrial,0,0,0,-,https://www.facebook.com/municipalidaddevilladelcarmen/,San Martín S/N° (8335),"02656 494074,0266 4452000 Int. 8899 ,0266 155109563,0266 4452010 Int. 8614,0266 4452000 Int. 8615","Audissio, Osvaldo",-65.0388803356,-32.9399546615
746105,San Luis,Chacabuco,Villa Larca,Comisión Municipal,No,No,  957 ,Villa Larca             ,"147,8 KM","147,8 KM",Primario - Industrial,0,0,0,-,https://www.villalarca.gob.ar/,San Martín 265 (5883),"02656 481733,0266 4452000 Int. 8609 ,0266 4452010 Int 8656,0266 4452010 8619","Vilchez , Iván Marcelo",-64.9814612265,-32.6174440908
746112,San Luis,General Pedernera,San José del Morro,Comisión Municipal,No,No,  91 ,San José del Morro             ,"79,4 KM","79,4 KM",Industrial - Primario,0,0,0,Fiesta en Honor al Brigadier General Juan E. Pedernera (Noviembre) -,S/D,Pringles y Sarmiento (5731),"02655 490500,02655 4452010  Int. 8906,02655 4452010   Int. 8911","Silvera, Marcelo Isaac",-65.4911841324,-33.2123441386
746119,San Luis,General Pedernera,Juan Jorba,Comisión Municipal,No,No,  201 ,Juan Jorba             ,"104,8 KM","104,8 KM",Industrial - Primario,0,0,0,-,Sin datos,Calle1 S/N° (5731),"02657 15567814,0266 4452000 Int. 8901,0266 4452010 Int. 8901","BASCONCELLO, Richard Walter",-65.2721849303,-33.6131704933
746126,San Luis,General Pedernera,Juan Llerena,Comisión Municipal,No,No,  272 ,Juan Llerena             ,"67,4 KM","67,4 KM",Industrial - Primario,0,0,0,Fiesta Patronal de la Sagrada Familia (Enero) - Festival del Encuentro y la Amistad (Febrero) -,Sin datos,Av. Celeste Filipuzzi S/N° 85735),"0266 4452000 Int. 8902,0266 4452010 Int. 8902","Frade, José Ramón",-65.6139609568,-33.2807687273
